,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
1842,170054726,18820,18820,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Internal Connections,Switches,0
1843,170069647,94835,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,85,Internal Connections,Cabling,94835
1844,170061576,875,875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
1845,170051844,2294,2294,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COSTA MESA,CA,60,Internal Connections,Wap,0
1846,170058731,1246,1246,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WINTERS,CA,80,Basic Maintenance Of Internal Connections,Wap,0
1847,170058160,7271,7271,Csm Consulting Inc.,kfriends@csmcentral.com,School District,CAMARILLO,CA,50,Internal Connections,Wireless Controller,0
1848,170063248,419,419,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GOLETA,CA,60,Internal Connections,Firewall Service And Components,0
1849,170064914,35537,35537,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Switches,0
1850,170068515,1169,1169,The Miller Institute For Learning With Technology,emiller@learningtech.org,School,Gardena,CA,90,Internal Connections,Switches,0
1851,170061576,875,875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
1852,170077049,61335,61331,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HOLLISTER,CA,80,Internal Connections,Wap,4
1853,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
1854,170064861,13253,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Internal Connections,"Antennas, Connectors, And Related Components",13253
1855,170048934,49196,49196,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,76,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1856,170059831,111481,101576,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PHELAN,CA,80,Basic Maintenance Of Internal Connections,Cabling,9905
1857,170048934,49196,49196,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,76,Internet Access And/Or Telecommunications,Dark Fiber,0
1858,170064796,23271,23271,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Managed Internal Broadband Services,Existing Equipment,0
1859,170068138,65131,65131,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,85,Basic Maintenance Of Internal Connections,Switches,0
1860,170064914,14783,14783,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1861,170080148,60916,58366,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Switches,2550
1862,170047995,49988,49988,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Ups/Battery Backup,0
1863,170049563,45648,45648,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,90,Internal Connections,Switches,0
1864,170058874,10040,10040,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40,Managed Internal Broadband Services,Existing Equipment,0
1865,170064914,34564,34564,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1866,170067362,1597,1597,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,SHAFTER,CA,30,Internal Connections,Wap,0
1867,170050105,311,311,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN LUIS OBISPO,CA,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1868,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
1869,170073841,4142,0,E-Rate First,jpillo@eratefirst.com,School,GLENDORA,CA,40,Internal Connections,Ups/Battery Backup,4142
1870,170076213,2054,2054,Csm Consulting Inc.,kfriends@csmcentral.com,School District,RIVERSIDE,CA,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1871,170066253,36221,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Cabling,36221
1872,170051829,8023,8023,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COSTA MESA,CA,60,Managed Internal Broadband Services,Existing Equipment,0
1873,170081400,1764,1764,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Internal Connections,Caching,0
1874,170061576,16500,16500,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
1875,170081400,5418,5418,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Internal Connections,Firewall Service And Components,0
1876,170048326,191315,59763,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Cabling,131552
1877,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
1878,170064063,11984,11984,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Router,0
1879,170061576,15125,15125,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
1880,170064861,2815,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Internal Connections,Ups/Battery Backup,2815
1881,170067362,1597,1597,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,SHAFTER,CA,30,Internal Connections,Wap,0
1882,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
1883,170075348,7454,7454,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Internal Connections,Cabling,0
1884,170054726,18341,18341,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Basic Maintenance Of Internal Connections,Cabling,0
1885,170058573,24720,24720,Csm Consulting Inc.,kfriends@csmcentral.com,School District,OXNARD,CA,20,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
1886,170065593,11870,11870,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Cabling,0
1887,170057989,6545,6545,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,30,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1888,170051427,4252,4252,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LEMON GROVE,CA,30,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1889,170063442,3588,2929,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,LONG BEACH,CA,80,Internal Connections,Ups/Battery Backup,659
1890,170054814,5641,5641,Csm Consulting Inc.,kfriends@csmcentral.com,School District,TRACY,CA,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1891,170065593,4097,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",4097
1892,170052580,48386,5303,Csm Consulting Inc.,kfriends@csmcentral.com,School District,CHOWCHILLA,CA,80,Managed Internal Broadband Services,Existing Equipment,43083
1893,170048326,11322,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Cabling,11322
1894,170047188,70940,70053,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,79,Internet Access And/Or Telecommunications,Dark Fiber,887
1895,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Cabling,17007
1896,170051028,29778,29778,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,82,Internet Access And/Or Telecommunications,Dark Fiber,0
1897,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
1898,170054220,299374,102407,Mattison Enterprises,loy@surewest.net,School District,SACRAMENTO,CA,80,Internal Connections,Cabling,196967
1899,170061576,291,291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
1900,170054974,67347,67347,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Firewall Service And Components,0
1901,170058708,48681,48681,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,85,Internal Connections,Wireless Controller,0
1902,170047188,148050,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,148050
1903,170051028,57223,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Dark Fiber,57223
1904,170081465,4956,4956,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80,Internal Connections,Switches,0
1905,170047188,25796,12730,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Lit Fiber Service,13066
1906,170064914,22975,22975,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
1907,170048326,8738,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Racks,8738
1908,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
1909,170072577,37976,46356,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PERRIS,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",-8380
1910,170052240,20792,19117,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,1675
1911,170064914,53084,53084,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Switches,0
1912,170061576,1021,1021,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
1913,170074621,14437,14437,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,Switches,0
1914,170049149,162221,60549,Getfunded,john.egan@getfunded.net,School,Fresno,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",101672
1915,170059432,676,710,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,Consortium,OCEANSIDE,CA,21,Internet Access And/Or Telecommunications,Cellular Voice,-34
1916,170061576,17875,17875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
1917,170055124,915,464,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PLACENTIA,CA,60,Internal Connections,"Antennas, Connectors, And Related Components",451
1918,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
1919,170061576,948,948,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
1920,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
1921,170061576,12375,12375,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
1922,170065593,1360,1360,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Switches,0
1923,170064914,45138,45138,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Ups/Battery Backup,0
1924,170051028,10924,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,77,Internet Access And/Or Telecommunications,Self-Provisioning,10924
1925,170055879,6774,6774,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85,Basic Maintenance Of Internal Connections,Wap,0
1926,170047995,133944,133944,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Switches,0
1927,170063442,3787,3787,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,LONG BEACH,CA,80,Internal Connections,Racks,0
1928,170064796,63291,63291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Internal Connections,Switches,0
1929,170066253,71420,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,71420
1930,170054974,70389,70389,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Cabling,0
1931,170059275,5400,5400,Merced County Office Of Education,erate@mcoe.org,School District,MERCED,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1932,170060078,1433,1433,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,30,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1933,170081400,4394,4394,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Switches,0
1934,170059416,25244,25244,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MENLO PARK,CA,40,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
1935,170066253,4035,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Wap,4035
1936,170048326,7922,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Racks,7922
1937,170078209,39318,39318,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,WEAVERVILLE,CA,80,Internal Connections,Ups/Battery Backup,0
1938,170080148,31854,16587,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Switches,15267
1939,170069277,3752,3752,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,PACOIMA,CA,30,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
1940,170081400,1764,1764,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Internal Connections,Switches,0
1941,170079758,6463,0,E-Rate Central,whimsworth@e-ratecentral.com,School District,CERRITOS,CA,80,Internal Connections,Switches,6463
1942,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
1943,170058874,6077,6041,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40,Internal Connections,Wap,36
1944,170061969,2292,1580,Mattison Enterprises,loy@surewest.net,School District,FAIRFIELD,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,712
1945,170062206,17054,10495,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LA QUINTA,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",6559
1946,170054974,5651,5651,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1947,170065593,23299,8974,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Cabling,14325
1948,170063720,76950,76950,Csm Consulting Inc.,kfriends@csmcentral.com,School District,FILLMORE,CA,90,Managed Internal Broadband Services,Existing Equipment,0
1949,170072362,478978,478978,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COVINA,CA,80,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1950,170049302,2604,2604,E-Rate Online Llc,msagnella@erateportal.com,School District,MADERA,CA,85,Internal Connections,Cabling,0
1951,170049563,27102,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,90,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",27102
1952,170064861,6649,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Internal Connections,Switches,6649
1953,170047188,846000,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Lit Fiber Service,846000
1954,170054974,61525,61525,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1955,170061969,45383,43612,Mattison Enterprises,loy@surewest.net,School District,FAIRFIELD,CA,80,Internal Connections,Racks,1771
1956,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Cabling,17007
1957,170048326,8738,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Cabling,8738
1958,170081400,12653,12653,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Cabling,0
1959,170061576,19250,19250,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
1960,170051028,644407,421639,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,84,Internet Access And/Or Telecommunications,Lit Fiber Service,222768
1961,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Wap,17007
1962,170080148,47748,45198,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Switches,2550
1963,170054726,22800,22800,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Internal Connections,Firewall Service And Components,0
1964,170049563,27102,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,90,Basic Maintenance Of Internal Connections,Switches,27102
1965,170063442,3588,2929,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,LONG BEACH,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,659
1966,170061576,4125,4125,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
1967,170048326,8738,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Cabling,8738
1968,170079867,3962,3962,E-Rate Central,whimsworth@e-ratecentral.com,School,OAKLAND,CA,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1969,170066634,2108,0,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN MARCOS,CA,60,Basic Maintenance Of Internal Connections,Wireless Controller,2108
1970,170075348,27268,27268,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Basic Maintenance Of Internal Connections,Switches,0
1971,170081400,3517,3517,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Internal Connections,Switches,0
1972,170075348,26857,26857,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Internal Connections,Switches,0
1973,170065593,46363,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Firewall Service And Components,46363
1974,170064914,52716,52716,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1975,170047995,46540,46540,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Wireless Controller,0
1976,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
1977,170074857,63795,57497,Csm Consulting Inc.,kfriends@csmcentral.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",6298
1978,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
1979,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
1980,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
1981,170064914,162968,162968,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1982,170060551,4090,4090,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,LUCERNE VALLEY,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1983,170069647,133994,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,85,Internal Connections,Cabling,133994
1984,170049563,6969,6969,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30,Basic Maintenance Of Internal Connections,Switches,0
1985,170075348,25291,25291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Internal Connections,Cabling,0
1986,170061576,16500,16500,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
1987,170051409,4840,4840,Csm Consulting Inc.,kfriends@csmcentral.com,School District,BLYTHE,CA,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1988,170058183,1240,1240,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SANTA ANA,CA,20,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1989,170054726,7741,7741,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
1990,170049264,2522,2522,Mattison Enterprises,loy@surewest.net,Library System,SACRAMENTO,CA,80,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1991,170058708,48681,48681,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,85,Basic Maintenance Of Internal Connections,Switches,0
1992,170063248,419,419,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GOLETA,CA,60,Internal Connections,Firewall Service And Components,0
1993,170061576,11000,11000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
1994,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",17007
1995,170061576,11000,11000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
1996,170047188,846000,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90,Internet Access And/Or Telecommunications,Dark Fiber,846000
1997,170054974,35119,35119,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Basic Maintenance Of Internal Connections,Switches,0
1998,170048326,157034,106856,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Cabling,50178
1999,170054974,21238,21238,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Switches,0
2000,170054726,23921,23921,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Basic Maintenance Of Internal Connections,Switches,0
2001,170066253,38873,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,38873
2002,170047188,23823,23525,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,79,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,298
2003,170048326,7922,7922,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Cabling,0
2004,170074621,8012,8012,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,Switches,0
2005,170056521,3127,3127,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,VALLEY CENTER,CA,80,Internal Connections,Switches,0
2006,170051302,35829,35829,Csm Consulting Inc.,kfriends@csmcentral.com,School District,CLOVIS,CA,60,Basic Maintenance Of Internal Connections,Switches,0
2007,170048326,7922,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85,Internal Connections,Cabling,7922
2008,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
2009,170047995,133944,133944,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Ups/Battery Backup,0
2010,170055879,26231,26231,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85,Internal Connections,Wap,0
2011,170049302,33417,26839,E-Rate Online Llc,msagnella@erateportal.com,School District,TRACY,CA,80,Internal Connections,Ups/Battery Backup,6578
2012,170048934,83404,83404,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,78,Internet Access And/Or Telecommunications,Lit Fiber Service,0
2013,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Switches,17007
2014,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
2015,170055050,22680,22680,Funds For Learning,jharrington@fundsforlearning.com,School,LOS ANGELES,CA,90,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
2016,170053002,56631,50639,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,CHULA VISTA,CA,80,Internal Connections,Switches,5992
2017,170049264,1274,1274,Mattison Enterprises,loy@surewest.net,Library System,SACRAMENTO,CA,80,Internal Connections,Switches,0
2018,170065593,14620,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Wap,14620
2019,170065593,1360,1360,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Switches,0
2020,170052240,25671,22882,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",2789
